#T/J	kxy
1.2900000e+00 -5.0568822e-03
1.2800000e+00 -5.3254872e-03
1.2700000e+00 -5.5929988e-03
1.2600000e+00 -5.8611933e-03
1.2500000e+00 -6.1313987e-03
1.2400000e+00 -6.4050169e-03
1.2300000e+00 -6.6830784e-03
1.2200000e+00 -6.9665221e-03
1.2100000e+00 -7.2563054e-03
1.2000000e+00 -7.5533277e-03
1.1900000e+00 -7.8585094e-03
1.1800000e+00 -8.1726088e-03
1.1700000e+00 -8.4964754e-03
1.1600000e+00 -8.8310865e-03
1.1500000e+00 -9.1772042e-03
1.1400000e+00 -9.5357660e-03
1.1300000e+00 -9.9076521e-03
1.1200000e+00 -1.0293900e-02
1.1100000e+00 -1.0695433e-02
1.1000000e+00 -1.1113370e-02
1.0900000e+00 -1.1548746e-02
1.0800000e+00 -1.2002680e-02
1.0700000e+00 -1.2476470e-02
1.0600000e+00 -1.2971344e-02
1.0500000e+00 -1.3488620e-02
1.0400000e+00 -1.4029734e-02
1.0300000e+00 -1.4596213e-02
1.0200000e+00 -1.5189636e-02
1.0100000e+00 -1.5811643e-02
1.0000000e+00 -1.6464077e-02
9.9000000e-01 -1.7148765e-02
9.8000000e-01 -1.7867760e-02
9.7000000e-01 -1.8623108e-02
9.6000000e-01 -1.9417011e-02
9.5000000e-01 -2.0251735e-02
9.4000000e-01 -2.1129843e-02
9.3000000e-01 -2.2053728e-02
9.2000000e-01 -2.3026028e-02
9.1000000e-01 -2.4049395e-02
9.0000000e-01 -2.5126542e-02
8.9000000e-01 -2.6260180e-02
8.8000000e-01 -2.7452965e-02
8.7000000e-01 -2.8707430e-02
8.6000000e-01 -3.0025877e-02
8.5000000e-01 -3.1410354e-02
8.4000000e-01 -3.2862336e-02
8.3000000e-01 -3.4382818e-02
8.2000000e-01 -3.5971896e-02
8.1000000e-01 -3.7628633e-02
8.0000000e-01 -3.9350765e-02
7.9000000e-01 -4.1134562e-02
7.8000000e-01 -4.2974297e-02
7.7000000e-01 -4.4862443e-02
7.6000000e-01 -4.6788944e-02
7.5000000e-01 -4.8741691e-02
7.4000000e-01 -5.0705992e-02
7.3000000e-01 -5.2665338e-02
7.2000000e-01 -5.4601216e-02
7.1000000e-01 -5.6493879e-02
7.0000000e-01 -5.8322779e-02
6.9000000e-01 -6.0067294e-02
6.8000000e-01 -6.1707643e-02
6.7000000e-01 -6.3224892e-02
6.6000000e-01 -6.4602082e-02
6.5000000e-01 -6.5824277e-02
6.4000000e-01 -6.6878915e-02
6.3000000e-01 -6.7755983e-02
6.2000000e-01 -6.8447975e-02
6.1000000e-01 -6.8949640e-02
6.0000000e-01 -6.9257905e-02
5.9000000e-01 -6.9371810e-02
5.8000000e-01 -6.9292102e-02
5.7000000e-01 -6.9020845e-02
5.6000000e-01 -6.8561474e-02
5.5000000e-01 -6.7918547e-02
5.4000000e-01 -6.7097261e-02
5.3000000e-01 -6.6103811e-02
5.2000000e-01 -6.4944955e-02
5.1000000e-01 -6.3627829e-02
5.0000000e-01 -6.2160371e-02
4.9000000e-01 -6.0550784e-02
4.8000000e-01 -5.8807941e-02
4.7000000e-01 -5.6940995e-02
4.6000000e-01 -5.4959640e-02
4.5000000e-01 -5.2874030e-02
4.4000000e-01 -5.0694740e-02
4.3000000e-01 -4.8432818e-02
4.2000000e-01 -4.6099813e-02
4.1000000e-01 -4.3707626e-02
4.0000000e-01 -4.1268717e-02
3.9000000e-01 -3.8795898e-02
3.8000000e-01 -3.6302516e-02
3.7000000e-01 -3.3802333e-02
3.6000000e-01 -3.1309066e-02
3.5000000e-01 -2.8837224e-02
3.4000000e-01 -2.6401032e-02
3.3000000e-01 -2.4015140e-02
3.2000000e-01 -2.1693846e-02
3.1000000e-01 -1.9451174e-02
3.0000000e-01 -1.7300967e-02
2.9000000e-01 -1.5256011e-02
2.8000000e-01 -1.3328101e-02
2.7000000e-01 -1.1527908e-02
2.6000000e-01 -9.8645219e-03
2.5000000e-01 -8.3445058e-03
2.4000000e-01 -6.9728250e-03
2.3000000e-01 -5.7512079e-03
2.2000000e-01 -4.6548200e-03
2.1000000e-01 -3.7134938e-03
2.0000000e-01 -2.9180604e-03
