#T/J	kxy
1.2900000e+00 -7.0193748e-03
1.2800000e+00 -7.3772631e-03
1.2700000e+00 -7.7364209e-03
1.2600000e+00 -8.0986754e-03
1.2500000e+00 -8.4656855e-03
1.2400000e+00 -8.8388871e-03
1.2300000e+00 -9.2195732e-03
1.2200000e+00 -9.6090254e-03
1.2100000e+00 -1.0008452e-02
1.2000000e+00 -1.0418989e-02
1.1900000e+00 -1.0841791e-02
1.1800000e+00 -1.1278067e-02
1.1700000e+00 -1.1728936e-02
1.1600000e+00 -1.2195624e-02
1.1500000e+00 -1.2679346e-02
1.1400000e+00 -1.3181398e-02
1.1300000e+00 -1.3703091e-02
1.1200000e+00 -1.4245770e-02
1.1100000e+00 -1.4810947e-02
1.1000000e+00 -1.5400068e-02
1.0900000e+00 -1.6014756e-02
1.0800000e+00 -1.6656699e-02
1.0700000e+00 -1.7327613e-02
1.0600000e+00 -1.8029426e-02
1.0500000e+00 -1.8764088e-02
1.0400000e+00 -1.9533734e-02
1.0300000e+00 -2.0340541e-02
1.0200000e+00 -2.1186881e-02
1.0100000e+00 -2.2075271e-02
1.0000000e+00 -2.3008338e-02
9.9000000e-01 -2.3988894e-02
9.8000000e-01 -2.5019960e-02
9.7000000e-01 -2.6104620e-02
9.6000000e-01 -2.7246214e-02
9.5000000e-01 -2.8448248e-02
9.4000000e-01 -2.9714386e-02
9.3000000e-01 -3.1048450e-02
9.2000000e-01 -3.2454392e-02
9.1000000e-01 -3.3936344e-02
9.0000000e-01 -3.5498480e-02
8.9000000e-01 -3.7145007e-02
8.8000000e-01 -3.8880106e-02
8.7000000e-01 -4.0707827e-02
8.6000000e-01 -4.2631987e-02
8.5000000e-01 -4.4655992e-02
8.4000000e-01 -4.6782595e-02
8.3000000e-01 -4.9013756e-02
8.2000000e-01 -5.1350337e-02
8.1000000e-01 -5.3791669e-02
8.0000000e-01 -5.6335331e-02
7.9000000e-01 -5.8976666e-02
7.8000000e-01 -6.1708411e-02
7.7000000e-01 -6.4520345e-02
7.6000000e-01 -6.7398986e-02
7.5000000e-01 -7.0327401e-02
7.4000000e-01 -7.3285311e-02
7.3000000e-01 -7.6249114e-02
7.2000000e-01 -7.9192539e-02
7.1000000e-01 -8.2087102e-02
7.0000000e-01 -8.4903101e-02
6.9000000e-01 -8.7610391e-02
6.8000000e-01 -9.0179442e-02
6.7000000e-01 -9.2582295e-02
6.6000000e-01 -9.4793203e-02
6.5000000e-01 -9.6789361e-02
6.4000000e-01 -9.8551242e-02
6.3000000e-01 -1.0006287e-01
6.2000000e-01 -1.0131172e-01
6.1000000e-01 -1.0228874e-01
6.0000000e-01 -1.0298800e-01
5.9000000e-01 -1.0340653e-01
5.8000000e-01 -1.0354377e-01
5.7000000e-01 -1.0340147e-01
5.6000000e-01 -1.0298321e-01
5.5000000e-01 -1.0229409e-01
5.4000000e-01 -1.0134055e-01
5.3000000e-01 -1.0013015e-01
5.2000000e-01 -9.8671425e-02
5.1000000e-01 -9.6973748e-02
5.0000000e-01 -9.5047265e-02
4.9000000e-01 -9.2902888e-02
4.8000000e-01 -9.0552151e-02
4.7000000e-01 -8.8007373e-02
4.6000000e-01 -8.5281297e-02
4.5000000e-01 -8.2387616e-02
4.4000000e-01 -7.9340415e-02
4.3000000e-01 -7.6154614e-02
4.2000000e-01 -7.2845639e-02
4.1000000e-01 -6.9429650e-02
4.0000000e-01 -6.5923421e-02
3.9000000e-01 -6.2344366e-02
3.8000000e-01 -5.8710536e-02
3.7000000e-01 -5.5040560e-02
3.6000000e-01 -5.1353609e-02
3.5000000e-01 -4.7669508e-02
3.4000000e-01 -4.4008282e-02
3.3000000e-01 -4.0390450e-02
3.2000000e-01 -3.6836879e-02
3.1000000e-01 -3.3368174e-02
3.0000000e-01 -3.0005040e-02
2.9000000e-01 -2.6767769e-02
2.8000000e-01 -2.3675626e-02
2.7000000e-01 -2.0747256e-02
2.6000000e-01 -1.7999291e-02
2.5000000e-01 -1.5446628e-02
2.4000000e-01 -1.3101595e-02
2.3000000e-01 -1.0973368e-02
2.2000000e-01 -8.9768223e-03
2.1000000e-01 -7.2419154e-03
2.0000000e-01 -5.7566263e-03
